# ADMX SIDECAR 1901.00920 [chunks separated by boundary points with g_ap = 1]
# m_a [eV]  g_ap [GeV^-1]
0.000017378597785977862  1
0.000017378597785977862  2.596358392987303e-13
0.000017407195571955723  2.911309635722663e-13
0.00001743948339483395  2.911309635722663e-13
0.000017473616236162366  2.697361947693768e-13
0.000017503136531365317  2.4991369477126347e-13
0.0000175289667896679  2.596358392987303e-13
0.000017555719557195573  2.596358392987303e-13
0.00001757416974169742  2.596358392987303e-13
0.000017829704797047972  1
0.000021034482758620692  1
0.000021034482758620692  4.284184167086886e-12
0.000021065830721003138  2.821950883690155e-12
0.000021112852664576803  3.1622776601683923e-12
0.000021191222570532918  3.0445035410462136e-12
0.00002128526645768025  4.284184167086886e-12
0.00002133228840125392  4.284184167086886e-12
0.00002133228840125392  3.823116941463775e-12
0.000021347962382445143  4.284184167086886e-12
0.00002139498432601881  3.971011080528315e-12
0.000021426332288401257  3.411670128561704e-12
0.000021489028213166148  2.821950883690155e-12
0.000021489028213166148  2.5182503390722473e-12
0.00002150470219435737  2.821950883690155e-12
0.000021536050156739813  2.821950883690155e-12
0.000021614420062695924  3.2846077743643157e-12
0.000021677115987460816  3.2846077743643157e-12
0.00002170846394984326  3.1622776601683923e-12
0.000021724137931034484  3.411670128561704e-12
0.000021771159874608153  3.0445035410462136e-12
0.00002181818181818182  2.821950883690155e-12
0.000021849529780564267  2.931115736038611e-12
0.00002192789968652038  3.5436477855785613e-12
0.000021990595611285266  3.680730889867662e-12
0.00002206896551724138  3.0445035410462136e-12
0.00002211598746081505  2.821950883690155e-12
0.000022163009404388717  2.821950883690155e-12
0.000022194357366771163  3.0445035410462136e-12
0.00002222570532915361  3.1622776601683923e-12
0.00002224137931034483  2.821950883690155e-12
0.00002224137931034483  3.411670128561704e-12
0.0000222884012539185  3.411670128561704e-12
0.000022351097178683384  3.1622776601683923e-12
0.000022382445141065833  3.0445035410462136e-12
0.000022382445141065833  2.615666785272682e-12
0.000022398119122257053  2.4244620170823406e-12
0.000022398119122257053  2.931115736038611e-12
0.0000224294670846395  2.821950883690155e-12
0.00002244514106583072  2.3341666954527253e-12
0.00002244514106583072  2.821950883690155e-12
0.00002249216300940439  2.931115736038611e-12
0.00002255485893416928  3.411670128561704e-12
0.000022633228840125392  3.411670128561704e-12
0.000022711598746081506  3.0445035410462136e-12
0.00002272727272727273  2.3341666954527253e-12
0.000022758620689655175  2.247234282811062e-12
0.000022758620689655175  1.9306977288832613e-12
0.000022774294670846394  2.247234282811062e-12
0.000022836990595611286  2.4244620170823406e-12
0.00002285266457680251  2.3341666954527253e-12
0.00002286833855799373  2.615666785272682e-12
0.000022899686520376177  2.615666785272682e-12
0.000022899686520376177  7.475261222040614e-13
0.000022931034482758623  7.196856730011558e-13
0.000022931034482758623  4.923882631706751e-13
0.000022946708463949846  5.114358987471161e-13
0.000022946708463949846  6.183135888417604e-13
0.00002296238244514107  8.376776400682958e-13
0.00002296238244514107  3.5436477855785613e-12
0.00002297805642633229  3.0445035410462136e-12
0.000022993730407523514  2.821950883690155e-12
0.000023009404388714737  3.411670128561704e-12
0.00002302507836990596  3.411670128561704e-12
0.000023056426332288402  3.0445035410462136e-12
0.000023056426332288402  1
0.000023134796238244516  1
0.000023134796238244516  2.4244620170823406e-12
0.00002318181818181818  2.931115736038611e-12
0.000023244514106583073  3.2846077743643157e-12
0.000023322884012539187  2.931115736038611e-12
0.00002338557993730408  2.615666785272682e-12
0.000023432601880877744  2.615666785272682e-12
0.000023526645768025077  3.1622776601683923e-12
0.000023636363636363637  3.0445035410462136e-12
0.00002369905956112853  2.931115736038611e-12
0.000023730407523510974  2.821950883690155e-12
0.000023793103448275862  2.931115736038611e-12
0.00002382445141065831  2.7168517066890552e-12
0.00002382445141065831  3.971011080528315e-12
0.00002384012539184953  5.587953033774368e-12
0.00002384012539184953  1
0.000023855799373040754  1
0.000023855799373040754  4.622055593729557e-12
0.0000238871473354232  4.986573190678949e-12
0.000023934169278996865  4.622055593729557e-12
0.00002396551724137931  3.823116941463775e-12
0.000023981191222570533  2.4244620170823406e-12
0.000023996865203761756  2.005385184898587e-12
0.000023996865203761756  1
0.000029665987460815046  1
0.000029665987460815046  1.2717320147012666e-12
0.000029669278996865202  1.372026935123991e-12
0.000029671630094043884  1.320927923253058e-12
0.00002967539184952978  1.372026935123991e-12
0.000029684796238244513  1.372026935123991e-12
0.000029694200626959247  1.425102670303002e-12
0.000029704075235109716  1.425102670303002e-12
0.000029715360501567396  1.372026935123991e-12
0.000029718181818181817  1.5969697997905758e-12
0.0000297205329153605  1.5374931403548444e-12
0.000029722413793103445  9.75014308321881e-13
0.00002972335423197492  9.75014308321881e-13
0.000029724294670846394  9.037409390018221e-13
0.0000297257053291536  1.5969697997905758e-12
0.00002972711598746081  1.6587472649501154e-12
0.000029728526645768022  1.5969697997905758e-12
0.000029733699059561128  1.6587472649501154e-12
0.000029740752351097176  1.6587472649501154e-12
0.000029749686520376174  1.6587472649501154e-12
0.000029754858934169277  1.6587472649501154e-12
0.00002976050156739812  1.7229145406132828e-12
0.00002976708463949843  1.5969697997905758e-12
0.00002977319749216301  1.5374931403548444e-12
0.000029782131661442003  1.4802315967078385e-12
0.00002978683385579937  1.425102670303002e-12
0.00002978824451410658  1.372026935123991e-12
0.00002978824451410658  1
